,Location,Date,Hour,Measurement
397,siwak,2019-03-08,6,3.8
398,siwak,2019-03-08,10,
399,siwak,2019-03-08,14,
400,siwak,2019-03-08,18,
401,siwak,2019-03-08,22,
402,siwak,2019-03-09,2,
403,siwak,2019-03-09,6,4.0
404,siwak,2019-03-09,10,
405,siwak,2019-03-09,14,
406,siwak,2019-03-09,18,
407,siwak,2019-03-09,22,
408,siwak,2019-03-10,2,
409,siwak,2019-03-10,6,5.1
410,siwak,2019-03-10,10,
411,siwak,2019-03-10,14,
412,siwak,2019-03-10,18,
413,siwak,2019-03-10,22,
414,siwak,2019-03-11,2,
415,siwak,2019-03-11,6,5.2
416,siwak,2019-03-11,10,
417,siwak,2019-03-11,14,
418,siwak,2019-03-11,18,
419,siwak,2019-03-11,22,
420,siwak,2019-03-12,2,
421,siwak,2019-03-12,6,5.35
422,siwak,2019-03-12,10,
423,siwak,2019-03-12,14,
424,siwak,2019-03-12,18,
425,siwak,2019-03-12,22,
426,siwak,2019-03-13,2,
427,siwak,2019-03-13,6,5.3
428,siwak,2019-03-13,10,
429,siwak,2019-03-13,14,
430,siwak,2019-03-13,18,
431,siwak,2019-03-13,22,
432,siwak,2019-03-14,2,
433,siwak,2019-03-14,6,4.8
434,siwak,2019-03-14,10,
435,siwak,2019-03-14,14,
436,siwak,2019-03-14,18,
437,siwak,2019-03-14,22,
438,siwak,2019-03-15,2,
439,siwak,2019-03-15,6,4.5
440,siwak,2019-03-15,10,
441,siwak,2019-03-15,14,
442,siwak,2019-03-15,18,
443,siwak,2019-03-15,22,
444,siwak,2019-03-16,2,
445,siwak,2019-03-16,6,4.4
446,siwak,2019-03-16,10,
447,siwak,2019-03-16,14,
448,siwak,2019-03-16,18,
449,siwak,2019-03-16,22,
450,siwak,2019-03-17,2,
451,siwak,2019-03-17,6,4.1
452,siwak,2019-03-17,10,
453,siwak,2019-03-17,14,
454,siwak,2019-03-17,18,
455,siwak,2019-03-17,22,
456,siwak,2019-03-18,2,
457,siwak,2019-03-18,6,4.0
458,siwak,2019-03-18,10,
459,siwak,2019-03-18,14,
460,siwak,2019-03-18,18,
461,siwak,2019-03-18,22,
462,siwak,2019-03-19,2,
463,siwak,2019-03-19,6,4.3
