,location,date,hour,measurement
328,papar_pujung,2022-05-19,18,8.8
329,papar_pujung,2022-05-19,22,9.1
330,papar_pujung,2022-05-19,2,9.3
331,papar_pujung,2022-05-20,6,9.5
332,papar_pujung,2022-05-20,10,9.6
333,papar_pujung,2022-05-20,14,9.6
334,papar_pujung,2022-05-20,18,9.7
335,papar_pujung,2022-05-20,22,9.9
336,papar_pujung,2022-05-20,2,10.05
337,papar_pujung,2022-05-21,6,10.2
338,papar_pujung,2022-05-21,10,10.2
339,papar_pujung,2022-05-21,14,10.3
340,papar_pujung,2022-05-21,18,10.45
341,papar_pujung,2022-05-21,22,10.6
342,papar_pujung,2022-05-21,2,10.65
343,papar_pujung,2022-05-22,6,10.7
344,papar_pujung,2022-05-22,10,10.7
345,papar_pujung,2022-05-22,14,10.8
346,papar_pujung,2022-05-22,18,10.8
347,papar_pujung,2022-05-22,22,10.8
348,papar_pujung,2022-05-22,2,10.9
349,papar_pujung,2022-05-23,6,11.0
350,papar_pujung,2022-05-23,10,11.0
351,papar_pujung,2022-05-23,14,11.0
352,papar_pujung,2022-05-23,18,11.0
353,papar_pujung,2022-05-23,22,11.0
354,papar_pujung,2022-05-23,2,11.05
355,papar_pujung,2022-05-24,6,11.1
356,papar_pujung,2022-05-24,10,11.1
357,papar_pujung,2022-05-24,14,11.0
358,papar_pujung,2022-05-24,18,11.0
359,papar_pujung,2022-05-24,22,10.9
360,papar_pujung,2022-05-24,2,10.85
361,papar_pujung,2022-05-25,6,10.8
362,papar_pujung,2022-05-25,10,10.7
363,papar_pujung,2022-05-25,14,10.7
364,papar_pujung,2022-05-25,18,10.5
365,papar_pujung,2022-05-25,22,10.4
366,papar_pujung,2022-05-25,2,10.25
367,papar_pujung,2022-05-26,6,10.1
368,papar_pujung,2022-05-26,10,10.1
369,papar_pujung,2022-05-26,14,10.0
370,papar_pujung,2022-05-26,18,9.9
371,papar_pujung,2022-05-26,22,9.8
372,papar_pujung,2022-05-26,2,9.65
373,papar_pujung,2022-05-27,6,9.5
374,papar_pujung,2022-05-27,10,9.2
375,papar_pujung,2022-05-27,14,9.1
376,papar_pujung,2022-05-27,18,8.8
377,papar_pujung,2022-05-27,22,8.7
378,papar_pujung,2022-05-27,2,8.55
379,papar_pujung,2022-05-28,6,8.4
380,papar_pujung,2022-05-28,10,8.35
381,papar_pujung,2022-05-28,14,8.3
382,papar_pujung,2022-05-28,18,8.2
383,papar_pujung,2022-05-28,22,8.0
384,papar_pujung,2022-05-28,2,7.85
385,papar_pujung,2022-05-29,6,7.7
386,papar_pujung,2022-05-29,10,7.5
387,papar_pujung,2022-05-29,14,7.3
388,papar_pujung,2022-05-29,18,7.1
389,papar_pujung,2022-05-29,22,6.9
390,papar_pujung,2022-05-29,2,6.75
391,papar_pujung,2022-05-30,6,6.6
392,papar_pujung,2022-05-30,10,6.3
393,papar_pujung,2022-05-30,14,6.1
394,papar_pujung,2022-05-30,18,5.8
395,papar_pujung,2022-05-30,22,5.3
396,papar_pujung,2022-05-30,2,4.95
397,papar_pujung,2022-05-31,6,4.6
398,papar_pujung,2022-05-31,10,4.4
399,papar_pujung,2022-05-31,14,4.1
